numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,0.013350963592529297,68.55606961250305,68.54271864891052,-25.165289256198346,3.0441852292673944e-06,0.00020865673168484419
2,70.88779187202454,107.44982743263245,36.56203556060791,-20.23728813559322,9.4682820461327e-06,0.0003461796648685692
3,108.67028856277466,169.81387996673584,61.14359140396118,-23.010416666666668,4.9998656344214165e-06,0.00030570974142577026
4,171.10474610328674,227.8285825252533,56.72383642196655,-23.633333333333333,4.331782741500416e-06,0.0002457153356443674
5,228.42497897148132,229.66713523864746,1.2421562671661377,-25.5,2.818382931264455e-06,3.500872021344213e-06
6,230.26246094703674,248.8636336326599,18.60117268562317,-24.666666666666668,3.414548873833601e-06,6.351461324567893e-05
7,249.48124170303345,298.77090764045715,49.289665937423706,-24.126582278481013,3.866711518734574e-06,0.00019058891903481543
8,300.0554087162018,321.5719168186188,21.516508102416992,-20.916666666666668,8.097171416105618e-06,0.0001742228543812958
9,326.2630863189697,326.85244584083557,0.5893595218658447,-29.0,1.2589254117941661e-06,7.419596787597714e-07
10,327.4333121776581,328.0168011188507,0.583488941192627,-29.0,1.2589254117941661e-06,7.345690555682699e-07
11,328.5999205112457,340.54544830322266,11.945527791976929,-25.2,3.019951720402013e-06,3.6074917206490785e-05
